,,,Salary,Salary,Salary,Salary,Salary,Salary,,
235,Miles Bridges\bridgmi02,CHO,$3755400,$3934320,$5421493,,,,1st Round Pick,$7689720
236,Jakob Pöltl\poeltja01,SAS,$3754886,,,,,,1st Round pick,$3754886
237,Tyler Herro\herroty01,MIA,$3640200,$3822240,$4004280,$5722116,,,1st Round Pick,$7462440
238,Donovan Mitchell\mitchdo01,UTA,$3635760,$5195501,,,,,1st Round Pick,$8831261
239,Stanley Johnson\johnsst04,TOR,$3623000,$3801000,,,,,Bi-annual Exception,$3623000
240,Jake Layman\laymaja01,MIN,$3581986,$3761085,$3940184,,,,,$11283255
241,Thon Maker\makerth01,DET,$3569643,,,,,,1st Round pick,$3569643
242,Jerome Robinson\robinje01,LAC,$3567720,$3737520,$5340916,,,,1st Round Pick,$7305240
243,Allonzo Trier\trieral01,NYK,$3551100,,,,,,Bi-Annual Exception,$3551100
244,Danuel House\houseda01,HOU,$3540000,$3717000,$3894000,,,,MLE,$11151000
245,Domantas Sabonis\sabondo01,IND,$3529555,$17187500,$18562500,$19937500,$21312500,,1st Round pick,$80529555
246,Mirza Teletović\teletmi01,MIL,$3500000,$3500000,,,,,,$7000000
247,Boban Marjanović\marjabo01,DAL,$3500000,$3500000,,,,,Bi-Annual Exception,$7000000
248,T.J. McConnell\mccontj01,IND,$3500000,$3500000,,,,,Cap Space,$4500000
249,DeMarcus Cousins\couside01,LAL,$3500000,,,,,,,$3500000
250,Taurean Waller-Prince\princta02,BRK,$3481986,$13942308,$15057692,,,,1st Round pick,$32481986
251,Dario Šarić\saricda01,PHO,$3481986,,,,,,1st Round pick,$3481986
252,Romeo Langford\langfro01,BOS,$3458400,$3631200,$3804360,$5634257,,,1st Round Pick,$7089600
253,Bam Adebayo\adebaba01,MIA,$3454080,$5115492,,,,,1st Round Pick,$8569572
254,Kyle Korver\korveky01,PHO,$3440000,,,,,,,$3440000
255,Michael Porter\portemi01,DEN,$3389400,$3550800,$5258735,,,,1st Round Pick,$6940200
256,Denzel Valentine\valende01,CHI,$3377569,,,,,,1st Round pick,$3377569
257,Juan Hernangómez\hernaju01,DEN,$3321030,,,,,,1st Round pick,$3321030
258,Sekou Doumbouya\doumbse01,DET,$3285120,$3449400,$3613680,$5539771,,,1st Round Pick,$6734520
259,Justin Jackson\jacksju01,DAL,$3280920,$5029650,,,,,1st Round Pick,$8310570
260,Troy Brown\browntr01,WAS,$3219480,$3372840,$5170564,,,,1st Round Pick,$6592320
261,Markieff Morris\morrima02,DET,$3200000,$3360000,,,,,Bi-annual Exception,$3200000
262,Jon Leuer\leuerjo01,MIL,$3169348,$3169348,$3169347,,,,,$9508043
263,Yogi Ferrell\ferreyo01,SAC,$3150000,,,,,,Cap Space,$3150000
264,Guerschon Yabusele\yabusgu01,BOS,$3117240,,,,,,,$3117240
265,Zhaire Smith\smithzh01,PHI,$3058800,$3204600,$4915856,,,,1st Round Pick,$6263400
266,Dwight Howard\howardw01,MEM,$3039097,,,,,,,$3039097
267,Khem Birch\birchkh01,ORL,$3000000,$3000000,,,,,,$6000000
268,Ryan Arcidiacono\arcidry01,CHI,$3000000,$3000000,$3000000,,,,,$6000000
269,Quinn Cook\cookqu01,LAL,$3000000,$3000000,,,,,,$4000000
270,Ömer Aşık\asikom01,CHI,$3000000,,,,,,,$3000000
