"player_id","player_name.x","SALARY","fantasy_points","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","salaryPerPoints","predResponse"
"lenal01","Alex Len",4823621,1311,"C",23,"PHO",77,34,1560,230,463,0.497,3,12,0.25,227,451,0.503,0.5,150,208,0.721,156,354,510,44,38,98,102,242,613,3679.34477498093,"3125.16755111582"
"leonaka01","Kawhi Leonard",17638063,2547,"SF",25,"SAS",74,74,2474,636,1312,0.485,147,387,0.38,489,925,0.529,0.541,469,533,0.88,80,350,430,260,133,55,154,122,1888,6925.03455045151,"6616.93306323008"
"leoname01","Meyers Leonard",9213483,803.9,"PF",24,"POR",74,12,1222,146,378,0.386,74,213,0.347,72,165,0.436,0.484,35,40,0.875,27,210,237,71,13,28,35,172,401,11460.9814653564,"6079.65916607312"
"leuerjo01","Jon Leuer",10991957,1365.9,"PF",27,"DET",75,34,1944,310,646,0.48,49,167,0.293,261,479,0.545,0.518,98,113,0.867,102,300,402,111,31,26,66,145,767,8047.40976645435,"7680.41210316001"
"leverca01","Caris LeVert",1562280,846.6,"SF",22,"BRK",57,26,1237,171,380,0.45,59,184,0.321,112,196,0.571,0.528,67,93,0.72,23,165,188,110,49,8,59,91,468,1845.35790219702,"2754.4247247363"
"lillada01","Damian Lillard",24328425,2616.6,"PG",26,"POR",75,75,2694,661,1488,0.444,214,579,0.37,447,909,0.492,0.516,488,545,0.895,46,322,368,440,68,20,197,152,2024,9297.72414583811,"9147.93297985516"
"livinsh01","Shaun Livingston",5782450,790.7,"PG",31,"GSW",76,3,1345,173,316,0.547,1,3,0.333,172,313,0.55,0.549,42,60,0.7,28,123,151,139,38,20,62,120,389,7313.0770203617,"9102.6440368148"
"looneke01","Kevon Looney",1182840,353.3,"C",20,"GSW",53,4,447,56,107,0.523,2,9,0.222,54,98,0.551,0.533,21,34,0.618,44,80,124,29,15,17,17,64,135,3347.97622417209,"3865.53518881362"
"lopezbr01","Brook Lopez",21165675,2131.6,"C",28,"BRK",75,75,2222,555,1172,0.474,134,387,0.346,421,785,0.536,0.531,295,364,0.81,121,282,403,176,38,124,184,192,1539,9929.47785700882,"9107.70783193379"
"lopezro01","Robin Lopez",13219250,1687,"C",28,"CHI",81,81,2271,382,775,0.493,0,2,0,382,773,0.494,0.493,75,104,0.721,244,276,520,80,18,117,91,151,839,7835.95139300533,"9197.31651808501"
"loveke01","Kevin Love",21165675,1884.2,"PF",28,"CLE",60,60,1885,370,867,0.427,145,389,0.373,225,478,0.471,0.51,257,295,0.871,148,518,666,116,53,21,122,125,1142,11233.2422248169,"11869.3386318481"
"lowryky01","Kyle Lowry",1.2e+07,2054.7,"PG",30,"TOR",60,60,2244,426,918,0.464,193,468,0.412,233,450,0.518,0.569,299,365,0.819,48,238,286,417,88,19,173,170,1344,5840.26865235801,"12658.2990499923"
"lylestr01","Trey Lyles",2340600,796.5,"PF",21,"UTA",71,4,1158,159,439,0.362,65,204,0.319,94,235,0.4,0.436,57,79,0.722,48,187,235,69,26,20,64,97,440,2938.60640301318,"3596.8723747081"
"makerth01","Thon Maker",2568600,420.3,"C",19,"MIL",57,34,562,83,181,0.459,28,74,0.378,55,107,0.514,0.536,32,49,0.653,40,74,114,23,10,26,17,84,226,6111.34903640257,"4413.02670607034"
"matthwe02","Wesley Matthews",17145838,1547.8,"SG",30,"DAL",73,73,2495,333,847,0.393,174,479,0.363,159,368,0.432,0.496,146,179,0.816,18,241,259,210,77,15,102,161,986,11077.5539475384,"9347.12238473954"
"mccolcj01","CJ McCollum",3219579,2399.3,"SG",25,"POR",80,80,2796,692,1441,0.48,185,439,0.421,507,1002,0.506,0.544,268,294,0.912,60,229,289,285,72,42,172,202,1837,1341.88263243446,"8263.05559278736"
"mcderdo01","Doug McDermott",2483040,820.8,"SF",25,"TOT",66,5,1508,222,497,0.447,77,208,0.37,145,289,0.502,0.524,71,84,0.845,20,159,179,58,13,5,38,79,592,3025.14619883041,"5906.16407008538"
"mcderdo01","Doug McDermott",2483040,609.5,"SF",25,"CHI",44,4,1078,166,373,0.445,56,150,0.373,110,223,0.493,0.52,59,67,0.881,14,116,130,45,11,4,32,57,447,4073.89663658737,"9261.05547883017"
"mcderdo01","Doug McDermott",2483040,211.3,"SF",25,"OKC",22,1,430,56,124,0.452,21,58,0.362,35,66,0.53,0.536,12,17,0.706,6,43,49,13,2,1,6,22,145,11751.2541410317,"25508.5153964793"
"mcgeeja01","JaVale McGee",1403611,866.3,"C",29,"GSW",77,10,739,208,319,0.652,0,3,0,208,316,0.658,0.652,56,111,0.505,100,144,244,17,19,67,40,109,472,1620.23663857786,"7989.49399071451"
"mclembe01","Ben McLemore",4008882,664.3,"SG",23,"SAC",61,26,1176,180,419,0.43,65,170,0.382,115,249,0.462,0.507,70,93,0.753,19,110,129,51,29,6,62,108,495,6034.74634954087,"3806.9361855452"
"middlkh01","Khris Middleton",15200000,672.1,"SF",25,"MIL",29,23,889,150,333,0.45,45,104,0.433,105,229,0.459,0.518,81,92,0.88,11,112,123,99,41,7,65,79,426,22615.6821901503,"17607.3386054594"
"milescj01","C.J. Miles",4583450,1179.8,"SF",29,"IND",76,29,1776,281,647,0.434,169,409,0.413,112,238,0.471,0.565,84,93,0.903,30,199,229,48,46,25,40,151,815,3884.93812510595,"8065.81528970892"
